"epoch","hdb_early - _step","hdb_early - _step__MIN","hdb_early - _step__MAX","hdb_early - backbone_lr","hdb_early - backbone_lr__MIN","hdb_early - backbone_lr__MAX","hdb_early - transformer_lr","hdb_early - transformer_lr__MIN","hdb_early - transformer_lr__MAX","hdb_early - mIoU","hdb_early - mIoU__MIN","hdb_early - mIoU__MAX","hdb_early - loss_growsp","hdb_early - loss_growsp__MIN","hdb_early - loss_growsp__MAX","hdb_early - loss_tarl","hdb_early - loss_tarl__MIN","hdb_early - loss_tarl__MAX","hdb_early - train_loss","hdb_early - train_loss__MIN","hdb_early - train_loss__MAX"
"25","1181.6326530612246","1158","1204","0.009245013308176512","0.009094573523563002","0.009350664829667663","0.000184307227087007","0.00018189147047126004","0.0001871205957335216","","","","430.58354568481445","430.58354568481445","430.58354568481445","109.13897204399109","109.13897204399109","109.13897204399109","485.15303170681","485.15303170681","485.15303170681"
"26","1228.7222222222222","1205","1252","0.009481334813648764","0.009366697690426005","0.009580070747778986","0.00018928687024569833","0.0001872274816490343","0.0001916014149555797","","","","430.0085172653198","430.0085172653198","430.0085172653198","106.65299141407013","106.65299141407013","106.65299141407013","483.3350129723549","483.3350129723549","483.3350129723549"
"27","1276.9636363636364","1254","1300","0.00967785268418687","0.009605944459092793","0.009764740443206152","0.00019360446532962417","0.0001918621176468873","0.00019529480886412302","","","","430.0475206375122","430.0475206375122","430.0475206375122","104.72490513324738","104.72490513324738","104.72490513324738","482.4099732041359","482.4099732041359","482.4099732041359"
"28","1326.88","1302","1348","0.009842855518158696","0.009771314004718947","0.00989046001290765","0.0001967306176231632","0.00019542628009437896","0.0001978992017682153","","","","429.5568332672119","429.5568332672119","429.5568332672119","102.11942827701569","102.11942827701569","102.11942827701569","480.61654740571976","480.61654740571976","480.61654740571976"
"29","1373.6666666666667","1349","1396","0.009939680738040252","0.009897175121030348","0.009973667794493647","0.0001988139875044865","0.00019798733604348454","0.00019945072871587385","","","","429.2368116378784","429.2368116378784","429.2368116378784","100.01545774936676","100.01545774936676","100.01545774936676","479.2445405125618","479.2445405125618","479.2445405125618"
"30","1423.6304347826087","1399","1445","0.00999109854291274","0.00997691945818338","0.009999952274743354","0.00019988252540668154","0.00019965562916081025","0.0002","10.335229193227999","10.335229193227999","10.335229193227999","429.28379249572754","429.28379249572754","429.28379249572754","98.26060450077057","98.26060450077057","98.26060450077057","478.4140947461128","478.4140947461128","478.4140947461128"
"31","1471.1304347826087","1447","1494","0.009998497917325303","0.009995979439613199","0.009999963527488017","0.00019996509456419155","0.00019990769304631444","0.00019999995440930806","","","","418.17719650268555","418.17719650268555","418.17719650268555","99.71770322322845","99.71770322322845","99.71770322322845","468.0360481142998","468.0360481142998","468.0360481142998"
"32","1521.6470588235295","1497","1542","0.009987034721470988","0.009979871550490316","0.009994302245554523","0.00019975342307830343","0.00019960594514748458","0.00019987674808644122","","","","416.9865598678589","416.9865598678589","416.9865598678589","97.59679508209229","97.59679508209229","97.59679508209229","465.78495740890503","465.78495740890503","465.78495740890503"
"33","1568.911111111111","1543","1590","0.009967488473514002","0.009956021730212991","0.00997944130289068","0.00019933278775267934","0.00019909497979688878","0.00019958882605781362","","","","416.2199821472168","416.2199821472168","416.2199821472168","95.07584023475647","95.07584023475647","95.07584023475647","463.75790226459503","463.75790226459503","463.75790226459503"
"34","1616.1864406779662","1591","1638","0.009938411872615257","0.009919648264401377","0.009954105842656208","0.0001987050610585758","0.00019839296528802755","0.00019905611994408003","","","","415.9540786743164","415.9540786743164","415.9540786743164","94.18743479251862","94.18743479251862","94.18743479251862","463.0477960705757","463.0477960705757","463.0477960705757"
"35","1662.5348837209303","1639","1686","0.009898893851318388","0.00987780729365677","0.009918793512837394","0.00019796960689792944","0.0001975561458731354","0.0001983758702567479","","","","415.9783983230591","415.9783983230591","415.9783983230591","92.13454508781433","92.13454508781433","92.13454508781433","462.04567086696625","462.04567086696625","462.04567086696625"
"36","1709.2173913043478","1687","1734","0.009851495903123873","0.009819815024222052","0.00987357542776704","0.00019698644816640336","0.00019644693171776763","0.0001974715085553408","","","","415.52844619750977","415.52844619750977","415.52844619750977","91.07243716716766","91.07243716716766","91.07243716716766","461.0646647810936","461.0646647810936","461.0646647810936"
"37","1759.142857142857","1735","1782","0.009789432407223356","0.009758225651540274","0.009818542650650732","0.00019572972040874092","0.000195223007765572","0.00019629398345836458","","","","415.3015832901001","415.3015832901001","415.3015832901001","89.11661958694458","89.11661958694458","89.11661958694458","459.8598930835724","459.8598930835724","459.8598930835724"
"38","1806.9245283018868","1784","1830","0.009722342517107026","0.009684522324244483","0.009752324125424703","0.00019430623102857493","0.00019362351257002549","0.00019498694715143825","","","","415.2728052139282","415.2728052139282","415.2728052139282","88.29978680610657","88.29978680610657","88.29978680610657","459.4226986169815","459.4226986169815","459.4226986169815"
"39","1856.36","1831","1878","0.009637179801680537","0.00959951484939759","0.009674431028980416","0.00019275802535083833","0.00019195280944403606","0.00019358991754652932","","","","414.56918811798096","414.56918811798096","414.56918811798096","87.20272302627563","87.20272302627563","87.20272302627563","458.1705496311188","458.1705496311188","458.1705496311188"
"40","1904.8085106382978","1879","1927","0.009549063061608265","0.009504846320134737","0.009593879142950915","0.0001909984260373642","0.00019017962408657057","0.00019191523805630546","14.360628490872001","14.360628490872001","14.360628490872001","414.8534965515137","414.8534965515137","414.8534965515137","86.08497130870819","86.08497130870819","86.08497130870819","457.89598220586777","457.89598220586777","457.89598220586777"
"41","1954.159090909091","1929","1976","0.009448411783519892","0.009402980047373053","0.009500695005627051","0.00018911332275563404","0.00018814993856324804","0.0001900554543145045","","","","405.838116645813","405.838116645813","405.838116645813","88.17718923091888","88.17718923091888","88.17718923091888","449.92671126127243","449.92671126127243","449.92671126127243"
"42","2000.8510638297873","1977","2024","0.009350921966257546","0.009292246799033458","0.009400715583903877","0.0001869358188617029","0.00018589387295013562","0.00018801431167807755","","","","404.2141065597534","404.2141065597534","404.2141065597534","86.40888440608978","86.40888440608978","86.40888440608978","447.4185487627983","447.4185487627983","447.4185487627983"
"43","2049.2978723404253","2025","2072","0.009233437904131024","0.009178122410960157","0.009287341363139114","0.0001846342760541156","0.00018356244821920314","0.00018579592073665377","","","","403.6972074508667","403.6972074508667","403.6972074508667","84.824751496315","84.824751496315","84.824751496315","446.1095831990242","446.1095831990242","446.1095831990242"
"44","2096.8367346938776","2073","2120","0.00910495530051407","0.00904508879153485","0.009167601523817346","0.00018230441987027363","0.00018090177583069702","0.00018340474903435979","","","","403.65129375457764","403.65129375457764","403.65129375457764","83.89748394489288","83.89748394489288","83.89748394489288","445.6000357270241","445.6000357270241","445.6000357270241"
"45","2146.8205128205127","2121","2168","0.008969673248367017","0.0089091617757105","0.009042280603639036","0.00017954661839334417","0.00017830216539658586","0.0001808456120727807","","","","403.1497688293457","403.1497688293457","403.1497688293457","82.87966322898865","82.87966322898865","82.87966322898865","444.58960044384","444.58960044384","444.58960044384"
"46","2192.2380952380954","2170","2216","0.008844005200784641","0.008774770668450805","0.00889722603613721","0.00017677311886174957","0.00017530724537177472","0.00017806402047799302","","","","402.96260356903076","402.96260356903076","402.96260356903076","81.82154977321625","81.82154977321625","81.82154977321625","443.8733784556389","443.8733784556389","443.8733784556389"
"47","2242.2272727272725","2218","2264","0.008695405927427992","0.008613979863239682","0.008755922969001155","0.00017354660572030942","0.00017227959726479362","0.00017518145661446884","","","","402.4348134994507","402.4348134994507","402.4348134994507","80.44005382061005","80.44005382061005","80.44005382061005","442.6548404097557","442.6548404097557","442.6548404097557"
"48","2289.9347826086955","2266","2312","0.008534062061237436","0.00845876878699147","0.00860737440541079","0.00017061187659436628","0.0001691063884736269","0.00017208133482233228","","","","402.72074699401855","402.72074699401855","402.72074699401855","80.30381715297699","80.30381715297699","80.30381715297699","442.87265557050705","442.87265557050705","442.87265557050705"
